protection,endpoint,arm,strength,missing_case,waterbodies,L1_TWh,L2_TWh,L3_TWh,L2_fraction_L1,L3_fraction_L1,environmental_candidates,L3_positive_waterbodies,cost_excluded_after_access,model,experiment,period,ice_error_case
conservative,upper,codex_primary,0.75,restricted,199976,15929.814759277977,3128.5613117799357,899.6382356759192,0.19639659086165911,0.056475122232789575,46972,11546,4993,MPI-ESM1-2-LR,historical,1995_2014,central
conservative,upper,no_ecology,0.5,unadjusted,199976,15929.814759277977,5430.520049582034,1821.86254148592,0.3409029001055486,0.11436809335305143,46972,12043,4496,MPI-ESM1-2-LR,historical,1995_2014,central
conservative,upper,no_ecology,0.5,restricted,199976,15929.814759277977,5430.520049582034,1763.6279385059397,0.3409029001055486,0.11071239466100839,46972,12001,4538,MPI-ESM1-2-LR,historical,1995_2014,central
conservative,upper,no_maintenance,0.5,unadjusted,199976,15929.814759277977,3971.569075065822,1392.4783702779184,0.24931671429215252,0.08741334355234102,46972,12627,3912,MPI-ESM1-2-LR,historical,1995_2014,central
conservative,upper,no_maintenance,0.5,restricted,199976,15929.814759277977,3895.8808910473017,1316.674630144969,0.24456536060962228,0.08265473579208447,46972,12627,3912,MPI-ESM1-2-LR,historical,1995_2014,central
conservative,upper,no_institutions,0.5,unadjusted,199976,15929.814759277977,3971.569075065822,1683.2523086411484,0.24931671429215252,0.10566678483569775,46972,12043,4496,MPI-ESM1-2-LR,historical,1995_2014,central
conservative,upper,no_institutions,0.5,restricted,199976,15929.814759277977,3895.8808910473017,1636.643143324948,0.24456536060962228,0.10274087728306573,46972,12001,4538,MPI-ESM1-2-LR,historical,1995_2014,central
core,lower,codex_primary,0.0,unadjusted,199976,15929.814759277977,5780.139686599642,1324.9222756411207,0.36285040183741774,0.08317248478168576,36270,6640,3090,MPI-ESM1-2-LR,historical,1995_2014,historical_error_longer_ice
core,lower,codex_primary,0.0,restricted,199976,15929.814759277977,5780.139686599642,1324.9222756411207,0.36285040183741774,0.08317248478168576,36270,6640,3090,MPI-ESM1-2-LR,historical,1995_2014,historical_error_longer_ice
core,lower,codex_primary,0.25,unadjusted,199976,15929.814759277977,5008.664512575765,1039.8522138161495,0.3144207630950998,0.06527710645288641,36270,6476,3254,MPI-ESM1-2-LR,historical,1995_2014,historical_error_longer_ice
core,lower,codex_primary,0.25,restricted,199976,15929.814759277977,4957.6704764947,1014.554662837371,0.3112195936620802,0.06368904335478638,36270,6453,3277,MPI-ESM1-2-LR,historical,1995_2014,historical_error_longer_ice
core,lower,codex_primary,0.5,unadjusted,199976,15929.814759277977,4237.189338551888,784.95310657357,0.2659911243527818,0.04927572093180751,36270,6283,3447,MPI-ESM1-2-LR,historical,1995_2014,historical_error_longer_ice
